year,id_,marital,childs,age,cohort,educ_rank,sex_rank,race_rank,hhrace_rank,mobile16_rank,mobile16_flag,hompop,class_rank,class_flag,polviews,polviews_rank,polviews_flag,relig,denom,other,religion,fund,fund_rank,fund16_rank,fund_differential,religious_strength_total,religious_strength_count,religious_strength_avg,religious_strength_index,blm_total,blm_count,blm_avg,blm_index
2018,1,Never married,0,43,1975,14,2,3,4,7,1,5,3,1,Conservative,2,1,Christian,No denomination,Not applicable,Christian,Moderate,2,3,-1,27,4,6.75,0.95833333,33,14,2.35714286,0.22619048
2018,2,Separated,3,74,1944,10,1,3,5,7,1,2,3,1,Don't know,0,0,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,22,4,5.5,0.75,23,5,4.6,0.6
2018,3,Married,2,42,1976,16,2,3,4,7,1,4,5,1,Slghtly conservative,3,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,12,4,3,0.33333333,59,12,4.91666667,0.65277778
2018,4,Married,2,63,1955,16,1,3,5,7,1,2,5,1,Moderate,4,1,Protestant,United methodist,Not applicable,United methodist,Liberal,1,2,-1,21,4,5.25,0.70833333,57,13,4.38461538,0.56410256
2018,5,Divorced,0,71,1947,18,2,2,5,7,1,2,7,1,Extrmly conservative,1,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,28,4,7,1,26,5,5.2,0.7
2018,6,Widowed,2,67,1951,16,1,3,5,4,1,2,3,1,Slightly liberal,5,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,18,4,4.5,0.58333333,67,15,4.46666667,0.57777778
2018,7,Divorced,6,59,1959,13,1,2,3,1,1,2,3,1,Moderate,4,1,Protestant,Baptist-dk which,Not applicable,Baptist-dk which,Fundamentalist,3,3,0,24,4,6,0.83333333,23,5,4.6,0.6
2018,8,Never married,0,43,1975,12,2,3,5,1,1,1,3,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,24,4,6,0.83333333,15,4,3.75,0.45833333
2018,9,Widowed,4,62,1956,8,1,3,5,1,1,1,1,1,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,12,4,3,0.33333333,74,12,6.16666667,0.86111111
2018,10,Married,2,55,1963,12,2,3,5,1,1,2,5,1,Don't know,0,0,Protestant,Other,Congregationalist~ 1st Congreg,Congregationalist~ 1st Congreg,Liberal,1,0,1,12,4,3,0.33333333,55,13,4.23076923,0.53846154
2018,11,Divorced,2,59,1959,19,2,3,5,4,1,2,5,1,Conservative,2,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,14,4,3.5,0.41666667,43,15,2.86666667,0.31111111
2018,12,Separated,3,34,1984,14,1,1,3,1,1,4,3,1,Moderate,4,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,2,0,21,4,5.25,0.70833333,56,13,4.30769231,0.55128205
2018,13,Divorced,2,61,1957,13,1,3,5,1,1,1,3,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,14,4,3.5,0.41666667,50,14,3.57142857,0.42857143
2018,14,Married,2,44,1974,16,2,2,3,7,1,3,3,1,Slightly liberal,5,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,3,-1,17,4,4.25,0.54166667,20,5,4,0.5
2018,15,Never married,2,41,1977,12,1,2,3,1,1,3,1,1,Liberal,6,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,16,4,4,0.5,52,12,4.33333333,0.55555556
2018,16,Widowed,4,75,1943,12,1,3,5,4,1,2,5,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,28,4,7,1,60,15,4,0.5
2018,17,Married,0,55,1963,16,1,3,5,4,1,2,3,1,Liberal,6,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,9,4,2.25,0.20833333,62,13,4.76923077,0.62820513
2018,18,Married,2,30,1988,16,1,3,5,7,1,4,5,1,Conservative,2,1,Moslem/islam,Not applicable,Not applicable,Moslem/islam,Na-excluded,0,0,0,18,4,4.5,0.58333333,52,14,3.71428571,0.45238095
2018,19,Divorced,2,40,1978,20,1,3,5,1,1,3,5,1,Liberal,6,1,Protestant,Lutheran-dk which,Not applicable,Lutheran-dk which,Moderate,2,2,0,16,4,4,0.5,24,4,6,0.83333333
2018,20,Never married,0,30,1988,18,2,3,4,4,1,4,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,25,4,6.25,0.875,42,13,3.23076923,0.37179487
2018,21,Married,1,34,1984,15,1,3,5,7,1,3,5,1,Conservative,2,1,Orthodox-christian,Not applicable,Not applicable,Orthodox-christian,Liberal,1,1,0,18,4,4.5,0.58333333,52,14,3.71428571,0.45238095
2018,22,Never married,0,29,1989,14,1,1,5,4,1,3,3,1,Conservative,2,1,Protestant,Other,Pentecostal,Pentecostal,Fundamentalist,3,3,0,24,4,6,0.83333333,22,5,4.4,0.56666667
2018,23,Married,1,40,1978,14,1,3,5,7,1,3,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,17,4,4.25,0.54166667,72,12,6,0.83333333
2018,24,Never married,0,37,1981,12,2,3,5,4,1,2,3,1,Extremely liberal,7,1,Buddhism,Not applicable,Not applicable,Buddhism,Na-excluded,0,1,-1,14,4,3.5,0.41666667,88,15,5.86666667,0.81111111
2018,25,Married,3,56,1962,16,1,3,5,4,1,2,5,1,Conservative,2,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,3,-1,23,4,5.75,0.79166667,60,13,4.61538462,0.6025641
2018,26,Widowed,2,82,1936,8,2,3,5,7,1,1,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,16,4,4,0.5,16,4,4,0.5
2018,27,Divorced,3,68,1950,12,1,3,5,4,1,1,3,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,19,4,4.75,0.625,54,14,3.85714286,0.47619048
2018,28,Never married,5,42,1976,9,1,2,3,4,1,2,5,1,Moderate,4,1,Protestant,Baptist-dk which,Not applicable,Baptist-dk which,Fundamentalist,3,3,0,23,4,5.75,0.79166667,22,5,4.4,0.56666667
2018,29,Divorced,3,40,1978,12,1,3,5,4,1,4,5,1,Extrmly conservative,1,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,25,4,6.25,0.875,41,12,3.41666667,0.40277778
2018,30,Never married,0,20,1998,14,2,3,5,1,1,4,5,1,Liberal,6,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,11,4,2.75,0.29166667,12,4,3,0.33333333
2018,31,Married,2,74,1944,12,1,3,5,4,1,2,3,1,Extrmly conservative,1,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,37,13,2.84615385,0.30769231
2018,32,Married,7,89 or older,1929,8,2,3,5,4,1,2,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,20,4,5,0.66666667,11,5,2.2,0.2
2018,33,Married,2,60,1958,16,1,3,5,4,1,2,5,1,Moderate,4,1,Protestant,Other,Reformed,Reformed,Moderate,2,2,0,17,4,4.25,0.54166667,41,12,3.41666667,0.40277778
2018,34,Divorced,0,56,1962,16,1,3,5,1,1,1,5,1,Extremely liberal,7,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,4,4,1,0,66,14,4.71428571,0.61904762
2018,35,Divorced,3,55,1963,10,1,3,5,7,1,1,5,1,Conservative,2,1,Protestant,Other,Pentecostal,Pentecostal,Fundamentalist,3,2,1,22,4,5.5,0.75,45,12,3.75,0.45833333
2018,36,Married,5,65,1953,18,2,3,5,7,1,2,3,1,Extrmly conservative,1,1,Jewish,Not applicable,Not applicable,Jewish,Liberal,1,1,0,23,4,5.75,0.79166667,15,4,3.75,0.45833333
2018,37,Widowed,1,71,1947,20,1,3,5,7,1,1,5,1,Moderate,4,1,Jewish,Not applicable,Not applicable,Jewish,Liberal,1,1,0,21,4,5.25,0.70833333,72,14,5.14285714,0.69047619
2018,38,Never married,0,34,1984,20,2,3,5,7,1,1,1,1,Extremely liberal,7,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,4,4,1,0,29,5,5.8,0.8
2018,39,Married,1,45,1973,19,2,3,4,7,1,1,3,1,Slghtly conservative,3,1,Protestant,United methodist,Not applicable,United methodist,Liberal,1,1,0,24,4,6,0.83333333,42,12,3.5,0.41666667
2018,40,No answer,Dk na,50,1968,12,1,2,3,4,1,1,0,0,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,0,1,11,3,3.666666667,0.44444444,86,15,5.73333333,0.78888889
2018,41,Divorced,2,65,1953,12,1,3,5,7,1,1,1,1,Slightly liberal,5,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,12,4,3,0.33333333,67,13,5.15384615,0.69230769
2018,42,Never married,0,52,1966,12,2,3,5,1,1,2,3,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,18,4,4.5,0.58333333,58,14,4.14285714,0.52380952
2018,43,Widowed,1,62,1956,12,1,3,5,4,1,1,1,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,71,13,5.46153846,0.74358974
2018,44,Married,0,60,1958,18,2,1,2,7,1,2,5,1,Moderate,4,1,Other,Not applicable,Not applicable,Other,Na-excluded,0,0,0,16,4,4,0.5,32,5,6.4,0.9
2018,45,Divorced,2,62,1956,16,1,3,5,4,1,2,3,1,Liberal,6,1,Moslem/islam,Not applicable,Not applicable,Moslem/islam,Na-excluded,0,0,0,19,4,4.75,0.625,22,4,5.5,0.75
2018,46,Widowed,3,46,1972,12,1,3,5,7,1,1,3,1,Slghtly conservative,3,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,12,4,3,0.33333333,55,13,4.23076923,0.53846154
2018,47,Married,2,40,1978,18,2,3,5,7,1,4,5,1,Slightly liberal,5,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,14,4,3.5,0.41666667,55,12,4.58333333,0.59722222
2018,48,Married,3,53,1965,18,1,3,5,7,1,5,7,1,Slightly liberal,5,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,16,4,4,0.5,61,13,4.69230769,0.61538462
2018,49,Divorced,1,75,1943,17,2,3,5,7,1,1,5,1,Conservative,2,1,Protestant,Episcopal,Not applicable,Episcopal,Liberal,1,1,0,26,4,6.5,0.91666667,30,12,2.5,0.25
2018,50,Divorced,2,67,1951,16,1,3,5,4,1,2,5,1,Moderate,4,1,Other,Not applicable,Not applicable,Other,Na-excluded,0,1,-1,23,4,5.75,0.79166667,62,15,4.13333333,0.52222222
2018,51,Never married,0,22,1996,14,2,3,5,1,1,4,3,1,Don't know,0,0,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,22,4,5.5,0.75,22,4,5.5,0.75
2018,52,Separated,3,42,1976,12,1,3,5,4,1,4,3,1,Moderate,4,1,Protestant,Other,Evangelical~ Evangelist,Evangelical~ Evangelist,Fundamentalist,3,3,0,19,4,4.75,0.625,67,14,4.78571429,0.63095238
2018,53,Divorced,2,59,1959,18,1,3,5,7,1,2,5,1,Moderate,4,1,Jewish,Not applicable,Not applicable,Jewish,Liberal,1,1,0,17,4,4.25,0.54166667,54,12,4.5,0.58333333
2018,54,Married,1,33,1985,18,1,1,2,7,1,3,3,1,Moderate,4,1,Hinduism,Not applicable,Not applicable,Hinduism,Na-excluded,0,0,0,17,4,4.25,0.54166667,19,4,4.75,0.625
2018,55,Married,2,46,1972,16,2,3,5,7,1,2,5,1,Slightly liberal,5,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,6,4,1.5,0.08333333,57,13,4.38461538,0.56410256
2018,56,Divorced,1,55,1963,14,2,3,5,7,1,2,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,13,4,3.25,0.375,17,5,3.4,0.4
2018,57,Married,2,43,1975,16,1,3,5,7,1,4,5,1,Moderate,4,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,24,4,6,0.83333333,75,12,6.25,0.875
2018,58,Never married,2,45,1973,14,1,2,3,4,1,2,3,1,Don't know,0,0,Protestant,No denomination,Not applicable,No denomination,Moderate,2,1,1,14,4,3.5,0.41666667,68,14,4.85714286,0.64285714
2018,59,Never married,0,23,1995,11,2,3,3,1,1,4,5,1,Conservative,2,1,Catholic,Not applicable,Not applicable,Catholic,Moderate,2,2,0,23,4,5.75,0.79166667,25,5,5,0.66666667
2018,60,Separated,2,28,1990,9,1,2,3,7,1,3,1,1,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,2,-1,10,4,2.5,0.25,73,13,5.61538462,0.76923077
2018,61,Married,1,27,1991,13,1,2,3,4,1,3,5,1,Liberal,6,1,Other,Not applicable,Not applicable,Other,Na-excluded,0,2,-2,18,4,4.5,0.58333333,85,14,6.07142857,0.8452381
2018,62,Married,3,42,1976,10,1,2,3,4,1,3,1,1,Extremely liberal,7,1,Protestant,Baptist-dk which,Not applicable,Baptist-dk which,Fundamentalist,3,3,0,12,4,3,0.33333333,72,12,6,0.83333333
2018,63,Never married,0,41,1977,16,1,2,0,1,1,1,5,1,Moderate,4,1,Protestant,Afr meth ep zion,Not applicable,Afr meth ep zion,Moderate,2,3,-1,28,4,7,1,74,14,5.28571429,0.71428571
2018,64,Widowed,1,64,1954,13,1,2,3,7,1,1,5,1,Moderate,4,1,Protestant,Other baptists,Not applicable,Other baptists,Fundamentalist,3,3,0,28,4,7,1,89,15,5.93333333,0.82222222
2018,65,Never married,4,53,1965,12,2,2,5,1,1,1,3,1,Moderate,4,1,None,Not applicable,Not applicable,None,Liberal,1,1,0,10,4,2.5,0.25,67,13,5.15384615,0.69230769
2018,66,Divorced,4,79,1939,20,2,2,3,7,1,1,1,1,Liberal,6,1,Protestant,Baptist-dk which,Not applicable,Baptist-dk which,Fundamentalist,3,3,0,19,4,4.75,0.625,68,14,4.85714286,0.64285714
2018,67,Married,3,34,1984,14,2,3,3,1,1,1,3,1,Conservative,2,1,Protestant,Baptist-dk which,Not applicable,Baptist-dk which,Fundamentalist,3,3,0,11,4,2.75,0.29166667,63,15,4.2,0.53333333
2018,68,Separated,3,59,1959,14,1,2,3,1,1,2,3,1,Moderate,4,1,Protestant,No denomination,Not applicable,No denomination,Moderate,2,3,-1,28,4,7,1,29,5,5.8,0.8
2018,69,Never married,0,32,1986,19,1,2,3,1,1,1,5,1,Slightly liberal,5,1,Protestant,Other,7th Day Adventist,7th Day Adventist,Fundamentalist,3,3,0,27,4,6.75,0.95833333,72,14,5.14285714,0.69047619
